ticker,datetime,headline,url,source
BIPC,Apr-01-24 01:03PM,Brookfield Infrastructure to Host First Quarter 2024 Results Conference Call,https://www.globenewswire.com/news-release/2024/04/01/2855343/0/en/Brookfield-Infrastructure-to-Host-First-Quarter-2024-Results-Conference-Call.html,finviz
BIPC,Apr-02-25 04:05PM,Brookfield Infrastructure to Host First Quarter 2025 Results Conference Call,https://www.globenewswire.com/news-release/2025/04/02/3054688/0/en/Brookfield-Infrastructure-to-Host-First-Quarter-2025-Results-Conference-Call.html,finviz
BIPC,Apr-03-23 11:12AM,Brookfield Infrastructure to Host First Quarter 2023 Results Conference Call,https://finance.yahoo.com/news/brookfield-infrastructure-host-first-quarter-151200052.html,finviz
BIPC,Apr-03-25 10:39PM,Brookfield Infrastructure Announces the Acquisition of Colonial Enterprises,https://www.globenewswire.com/news-release/2025/04/04/3055691/0/en/Brookfield-Infrastructure-Announces-the-Acquisition-of-Colonial-Enterprises.html,finviz
BIPC,Apr-03-25 10:39PM 07:05AM,Invest $1 Million For Financial Freedom With 4 Buy-And-Hold 'Forever' Funds,https://seekingalpha.com/article/4772611-invest-1-million-for-financial-freedom-with-4-buy-and-hold-forever-funds?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-03-25 10:39PM 08:05AM,A Historic Opportunity For Dividend Investors,https://seekingalpha.com/article/4772583-a-historic-opportunity-for-dividend-investors?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-03-25 10:39PM 09:15AM,Blue-Chip Dividends Entering Bargain Territory: 2 Names To Buy,https://seekingalpha.com/article/4772561-blue-chip-dividends-entering-bargain-territory-2-names-to-buy?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-05-25 09:15AM,"Bad News For The Market, Good News For Retirement Income",https://seekingalpha.com/article/4772965-bad-news-for-the-market-good-news-for-retirement-income?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-05-25 09:15AM 04:19AM,This Top Dividend Stock's $9 Billion Acquisition Will Give It More Fuel to Grow Its High-Yielding Payout,https://finviz.com/news/18292/this-top-dividend-stocks-9-billion-acquisition-will-give-it-more-fuel-to-grow-its-high-yielding-payout,finviz
BIPC,Apr-06-25 10:00AM,"The Market Is Crashing, But We Are Rejoicing",https://seekingalpha.com/article/4773214-market-crashing-but-we-are-rejoicing?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-07-25 04:32AM,The Smartest Dividend Stocks to Buy With $500 Right Now,https://finviz.com/news/18618/the-smartest-dividend-stocks-to-buy-with-500-right-now,finviz
BIPC,Apr-08-25 07:30AM,Stock Market Crash: 3 Top Stocks I Plan to Load Up on If the Market Meltdown Continues,https://finviz.com/news/19422/stock-market-crash-3-top-stocks-i-plan-to-load-up-on-if-the-market-meltdown-continues,finviz
BIPC,Apr-09-25 12:00PM,"Brookfield Infrastructure: Market Overreacting To Tariffs, High Yield Looks Like A Steal",https://seekingalpha.com/article/4773954-brookfield-infrastructure-market-overreacting-tariffs-high-yield-looks-like-steal?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-12-23 08:49AM,Brookfield Infrastructure Expands Supply-Chain Footprint with Triton International Acquisition,https://finance.yahoo.com/m/eb748ded-cac1-349c-b9e5-dfbba116ceec/brookfield-infrastructure.html,finviz
BIPC,Apr-12-23 08:49AM 06:55AM,Triton International to be Acquired by Brookfield Infrastructure in a $13.3 Billion Take-Private Transaction,https://finance.yahoo.com/news/triton-international-acquired-brookfield-infrastructure-105500118.html,finviz
BIPC,Apr-13-25 06:37PM,The Stock Market Can't Make Up Its Mind. These 3 High-Yield Dividend Stocks Should Reward You Whichever Way It Goes.,https://finviz.com/news/23006/the-stock-market-cant-make-up-its-mind-these-3-high-yield-dividend-stocks-should-reward-you-whichever-way-it-goes,finviz
BIPC,Apr-15-25 09:02PM,5 Safe Dividend Stocks Yielding 5% or More to Buy Right Now for Durable Passive Income,https://finviz.com/news/24559/5-safe-dividend-stocks-yielding-5-or-more-to-buy-right-now-for-durable-passive-income,finviz
BIPC,Apr-15-25 09:02PM 04:53PM,Ray Dalio Warns Of 'Something Worse Than A Recession' - Our Approach,https://seekingalpha.com/article/4775366-ray-dalio-warns-of-something-worse-than-a-recession-our-approach?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-16-25 10:30AM,Triton International: Looking For Value In The 8%+ Yielding Preferred Shares,https://seekingalpha.com/article/4775452-triton-international-looking-for-value-in-preferred-shares?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-16-25 10:30AM 08:30AM,Leading Investor Criticizes 60/40 Portfolio: Why Our Approach Is Better,https://seekingalpha.com/article/4775535-leading-investor-criticizes-60-40-portfolio-our-approach-better?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-17-25 08:05AM,Why Most Dividend Retirement Strategies Fail: How To Retire With Dividends,https://seekingalpha.com/article/4775845-why-most-dividend-retirement-strategies-fail?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-19-25 04:08AM,This High-Yield Stock Makes a Crown Jewel Acquisition,https://finviz.com/news/27019/this-high-yield-stock-makes-a-crown-jewel-acquisition,finviz
BIPC,Apr-22-25 08:30AM,A Golden Buying Opportunity For Big Dividend Growth Investors,https://seekingalpha.com/article/4776779-golden-buying-opportunity-for-big-dividend-growth-investors?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,finviz
BIPC,Apr-22-25 08:30AM 04:18AM,Nvidia Is Expensive. Here Are 3 High-Yield Artificial Intelligence Plays That Aren't.,https://finviz.com/news/28183/nvidia-is-expensive-here-are-3-high-yield-artificial-intelligence-plays-that-arent,finviz
